Col 0 has blocks number: 7, get by thread 0.
Col 2 has blocks number: 1, get by thread 0.
Col 3 has blocks number: 1, get by thread 0.
Col 4 has blocks number: 6, get by thread 0.
Col 5 has blocks number: 3, get by thread 0.
Col 7 has blocks number: 167, get by thread 0.
Col 9 has blocks number: 2, get by thread 0.
Col 10 has blocks number: 7, get by thread 0.
Col 11 has blocks number: 2, get by thread 0.
Col 12 has blocks number: 1, get by thread 0.
Col 13 has blocks number: 3, get by thread 0.
Col 14 has blocks number: 7, get by thread 0.
Col 15 has blocks number: 1, get by thread 0.
Col 16 has blocks number: 1, get by thread 0.
Col 17 has blocks number: 1, get by thread 0.
Col 18 has blocks number: 1, get by thread 0.
Col 19 has blocks number: 1, get by thread 0.
Col 20 has blocks number: 1, get by thread 0.
Col 21 has blocks number: 1, get by thread 0.
Col 22 has blocks number: 1, get by thread 0.
Col 23 has blocks number: 2, get by thread 0.
Col 25 has blocks number: 1, get by thread 0.
Col 26 has blocks number: 2, get by thread 0.
Col 28 has blocks number: 1, get by thread 0.
Col 29 has blocks number: 1, get by thread 0.
Col 31 has blocks number: 1, get by thread 0.
Col 33 has blocks number: 1, get by thread 0.
Col 34 has blocks number: 2, get by thread 0.
Col 35 has blocks number: 1, get by thread 0.
Col 36 has blocks number: 1, get by thread 0.
Col 37 has blocks number: 1, get by thread 0.
Col 38 has blocks number: 4, get by thread 0.
Col 39 has blocks number: 219, get by thread 0.
Col 40 has blocks number: 2, get by thread 0.
Col 41 has blocks number: 2, get by thread 0.
Col 44 has blocks number: 5, get by thread 0.
Col 45 has blocks number: 1, get by thread 0.
Col 46 has blocks number: 1, get by thread 0.
Col 49 has blocks number: 1, get by thread 0.
Col 52 has blocks number: 7, get by thread 0.
Col 53 has blocks number: 22, get by thread 0.
Col 60 has blocks number: 2, get by thread 0.
Col 62 has blocks number: 3, get by thread 0.
Col 63 has blocks number: 1, get by thread 0.
Col 64 has blocks number: 3, get by thread 0.
Col 66 has blocks number: 1, get by thread 0.
Col 67 has blocks number: 1, get by thread 0.
Col 68 has blocks number: 4, get by thread 0.
Col 70 has blocks number: 1, get by thread 0.
Col 71 has blocks number: 1, get by thread 0.
Col 72 has blocks number: 1, get by thread 0.
